prod;price;img;tag;link
Placa de Vídeo RX 7900 XT Hellhound PowerColor AMD Radeon, 20 GB GDDR6, LED, Ray Tracing - RX7900XT 20G-L/OC;6469.99;https://images.kabum.com.br/produtos/fotos/420100/placa-de-video-rx-7900-xt-hellhound-powercolor-amd-radeon-20-gb-gddr6-led-ray-tracing-rx7900xt-20g-l-oc_1679595342_m.jpg;Placa de Vídeo RX 7900 XT Hellhound PowerColor AMD Radeon, 20 GB GDDR6, LED, Ray Tracing - RX7900XT 20G-L/OC;/produto/420100/placa-de-video-rx-7900-xt-hellhound-powercolor-amd-radeon-20-gb-gddr6-led-ray-tracing-rx7900xt-20g-l-oc
Placa de Vídeo RTX 4080 Ventus 3X OC MSI NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - GeForce RTX 4080 16GB VENTUS 3X OC;8999.99;https://images.kabum.com.br/produtos/fotos/397583/placa-de-video-rtx-4080-ventus-3x-oc-msi-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-geforce-rtx-4080-16gb-ventus-3x-oc_1668089968_m.jpg;Placa de Vídeo RTX 4080 Ventus 3X OC MSI NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - GeForce RTX 4080 16GB VENTUS 3X OC;/produto/397583/placa-de-video-rtx-4080-ventus-3x-oc-msi-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-geforce-rtx-4080-16gb-ventus-3x-oc
Placa de Vídeo PNY NVIDIA GeForce Quadro T400, 4GB GDDR6, 64 Bits - VCNT4004GB-PB;1298.07;https://images.kabum.com.br/produtos/fotos/sync_mirakl/400568/Placa-de-V-deo-PNY-NVIDIA-GeForce-Quadro-T400-4GB-GDDR6-64-Bits-VCNT4004GB-PB_1674571116_m.jpg;Placa de Vídeo PNY NVIDIA GeForce Quadro T400, 4GB GDDR6, 64 Bits - VCNT4004GB-PB;/produto/400568/placa-de-video-pny-nvidia-geforce-quadro-t400-4gb-gddr6-64-bits-vcnt4004gb-pb
Placa de Vídeo Colorful, NVIDIA GeForce GT 1030, 4GB GDDR4, 64 Bits;621.27;https://images.kabum.com.br/produtos/fotos/sync_mirakl/355228/Placa-de-V-deo-Colorful-NVIDIA-GeForce-GT-1030-4GB-GDDR4-64-Bits_1678981119_m.jpg;Placa de Vídeo Colorful, NVIDIA GeForce GT 1030, 4GB GDDR4, 64 Bits;/produto/355228/placa-de-video-colorful-nvidia-geforce-gt-1030-4gb-gddr4-64-bits
Placa de Vídeo PCYes AMD Radeon RX 550, 4GB GDDR5, Grafiti Series - PAJRX550DR5DF;669.0;https://images.kabum.com.br/produtos/fotos/sync_mirakl/302813/Placa-de-V-deo-PCYes-AMD-Radeon-RX-550-4GB-GDDR5-Grafiti-Series-PAJRX550DR5DF_1681397326_m.jpg;Placa de Vídeo PCYes AMD Radeon RX 550, 4GB GDDR5, Grafiti Series - PAJRX550DR5DF;/produto/302813/placa-de-video-pcyes-amd-radeon-rx-550-4gb-gddr5-grafiti-series-pajrx550dr5df
Placa de Vídeo Galax NVIDIA GeForce GT 210, 1GB DDR3, 64 Bits - 21GGF4HI00NP;183.65;https://images.kabum.com.br/produtos/fotos/sync_mirakl/191932/Placa-de-V-deo-Galax-NVIDIA-GeForce-GT-210-1GB-DDR3-64-Bits-21GGF4HI00NP_1683913735_m.jpg;Placa de Vídeo Galax NVIDIA GeForce GT 210, 1GB DDR3, 64 Bits - 21GGF4HI00NP;/produto/191932/placa-de-video-galax-nvidia-geforce-gt-210-1gb-ddr3-64-bits-21ggf4hi00np
Placa de Vídeo Galax NVIDIA GeForce RTX 2060 Super EX, 8GB GDDR6, 256 Bits, 1-Click OC - 26ISL6HP68LD;2969.4;https://images.kabum.com.br/produtos/fotos/sync_mirakl/219963/Placa-de-V-deo-Galax-NVIDIA-GeForce-RTX-2060-Super-EX-8GB-GDDR6-256-Bits-1-Click-OC-26ISL6HP68LD_1674571102_m.jpg;Placa de Vídeo Galax NVIDIA GeForce RTX 2060 Super EX, 8GB GDDR6, 256 Bits, 1-Click OC - 26ISL6HP68LD;/produto/219963/placa-de-video-galax-nvidia-geforce-rtx-2060-super-ex-8gb-gddr6-256-bits-1-click-oc-26isl6hp68ld
Placa de Vídeo Galax NVIDIA GeForce RTX 3060 TI SG OC Plus, 8GB GDDR6X, LHR, 1-Click, 256 Bits - 36ISM6MD4BPL;2899.0;https://images.kabum.com.br/produtos/fotos/sync_mirakl/400288/Placa-de-V-deo-Galax-NVIDIA-GeForce-RTX-3060-TI-SG-OC-Plus-8GB-GDDR6X-LHR-1-Click-256-Bits-36ISM6MD4BPL_1680791318_m.jpg;Placa de Vídeo Galax NVIDIA GeForce RTX 3060 TI SG OC Plus, 8GB GDDR6X, LHR, 1-Click, 256 Bits - 36ISM6MD4BPL;/produto/400288/placa-de-video-galax-nvidia-geforce-rtx-3060-ti-sg-oc-plus-8gb-gddr6x-lhr-1-click-256-bits-36ism6md4bpl
Placa de Vídeo PCYES, AMD RX550, 4GB RAM, Open GL 4.6, DP+HDMI+DVI, Windows e Linux;714.78;https://images.kabum.com.br/produtos/fotos/sync_mirakl/404202/Placa-de-V-deo-PCYES-AMD-RX550-4GB-RAM-Open-GL-4-6-DP-HDMI-DVI-Windows-e-Linux_1682623130_m.jpg;Placa de Vídeo PCYES, AMD RX550, 4GB RAM, Open GL 4.6, DP+HDMI+DVI, Windows e Linux;/produto/404202/placa-de-video-pcyes-amd-rx550-4gb-ram-open-gl-4-6-dp-hdmi-dvi-windows-e-linux
Placa de Vídeo Colorful NVIDIA GeForce GT 1030, 2GB GDDR4, V6-V, 64 Bits;656.82;https://images.kabum.com.br/produtos/fotos/sync_mirakl/391178/Placa-de-V-deo-Colorful-NVIDIA-GeForce-GT-1030-2GB-GDDR4-V6-V-64-Bits_1674571146_m.jpg;Placa de Vídeo Colorful NVIDIA GeForce GT 1030, 2GB GDDR4, V6-V, 64 Bits;/produto/391178/placa-de-video-colorful-nvidia-geforce-gt-1030-2gb-gddr4-v6-v-64-bits
